hospital;area;unidade_origem;atividade;codigo;versao;data;classe;arquivo;paginas;paginas_mencao_fluxo;fonte;pagina_origem;sha256;observacao
HC-UFTM;Compras e Licitações;SCONT;Análise da Qualificação Econômico- Financeira das Empresas Licitantes;POP.HC-UFTM-SCONT.004;3;13/06/2025;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-SCONT_004_analise_da_qualificacao_economico_financeira_das_empresas_licitan_2025.pdf;11;[7, 9];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMSCONT.004AnalisedaQualificacaoEcononicoFinanceiradasEmpresasLicitantesversao3.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;5372cefa7196176f32b062dc1afed7dcc1700a1a72fb66bb7cde92b8d32eb88a;Data de emissão conferida no PDF.
HC-UFTM;Compras e Licitações;UPDE;Planejamento para Contratações Diretas por Adesão;POP.HC-UFTM-UPDE.001;1;26/01/2026;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-UPDE_001_planejamento_para_contratacoes_diretas_por_adesao_2026.pdf;23;[20];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUPDE.001PlanejamentoparaContratacoesDiretasporAdesao.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;65a212142aab497a2ba581f4cd97d10a1b1237de633cf2ae8a38271725e1f53c;Data de emissão conferida no PDF.
HC-UFTM;Contratos;SCONT;Garantias Contratuais;POP.HC-UFTM-SCONT.001;5;08/04/2025;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-SCONT_001_garantias_contratuais_2025.pdf;19;[16];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMSCONT.001Garantias_Contratuais_versao_5.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;ee3ee272f28cfc73fb056186b5e08e07264f18ef027b394c9fe11f2cd96821b8;Data de emissão conferida no PDF.
HC-UFTM;Contratos;SCONT;Registro de Contratos no Sistema Integrado de Administração Financeira do Governo Federal;POP.HC-UFTM-SCONT.003;3;29/05/2025;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-SCONT_003_registro_de_contratos_no_sistema_integrado_de_administracao_finan_2025.pdf;17;[16];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMSCONT.003RegistrodeContratosnoSistemaIntegradodeAdministracaoFinanceiradoGovernoFederalversao3.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMSCONT.003RegistrodeContratosnoSistemaIntegradodeAdministracaoFinanceiradoGovernoFederalversao3.pdf;e7d2e870e3084368da75180ec940546def57a9151dec5ec0b70424461ddbadde;Data de emissão conferida no PDF.
HC-UFTM;Patrimônio;SCONT;Fluxo do Envio de Relatórios de Movimentação de Almoxarifado e de Bens Móveis Conciliados à Administração Central da Rede HU Brasil;POP.HC-UFTM-SCONT.008;3;28/05/2026;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-SCONT_008_fluxo_do_envio_de_relatorios_de_movimentacao_de_almoxarifado_e_de_2026.pdf;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMSCONT.008FluxodoEnviodeRelatoriosdeMovimentacaodeAlmoxarifadoedeBensMoveisConciliadosaAdministracoCentraldaRedeHUBrasilversao3.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;fe0aa55ba59167c6fc92214492663e97681d3f1ee7f6619b6be75bd6654f6e49;Data de emissão conferida no PDF.
HC-UFTM;Patrimônio;UAMB;Fluxo para Solicitação de Conserto de Móveis e Equipamentos ou Baixa Patrimonial de Equipamentos e Móveis em Desuso na Unidade de Ambulatório;POP.HC-UFTM-UAMB.025;4;02/06/2026;Interface de outra unidade;HC-UFTM/05_Interfaces/POP_HC-UFTM-UAMB_025_fluxo_para_solicitacao_de_conserto_de_moveis_e_equipamentos_ou_ba_2026.pdf;8;[1, 2, 3, 4, 5, 6, 7, 8];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUAMB.025FluxoparaSolicitacaodeConsertodeMoveiseEquipamentosouBaixaPatrimonialdeEquipamentoseMoveisemDesusonaUnidadedeAmbulatorioversao4.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;f617e0fa7ead3005a8b67e78477637feb5ca5dd1648be7dbac395a9405b8bd50;Data de emissão conferida no PDF.
HC-UFTM;Compras e Licitações;UCL;Publicação de Aviso de Licitação;POP.HC-UFTM-UCL.001;2;06/05/2025;Núcleo das quatro unidades;HC-UFTM/02_Compras_Licitacoes/POP_HC-UFTM-UCL_001_publicacao_de_aviso_de_licitacao_2025.pdf;25;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUCL.001Publicacao_de_Aviso_de_Licitacaoversao2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;d5b27e22e6e3ea35cb2ce7cb5b80b9bd444620c9606d23529b7004ccfee7faca;Data de emissão conferida no PDF.
HC-UFTM;Compras e Licitações;UCL;Confecção de Editais de Pregão Eletrônico, Tradicional e/ou pelo Sistema de Registro de Preços;POP.HC-UFTM-UCL.002;2;29/12/2025;Núcleo das quatro unidades;HC-UFTM/02_Compras_Licitacoes/POP_HC-UFTM-UCL_002_confeccao_de_editais_de_pregao_eletronico_tradicional_e_ou_pelo_s_2025.pdf;15;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/pop-hc-uftm-ucl-002-confeccao-de-editais-de-pregao-eletronico-tradicional-e-ou-pelo-sistema-de-registro-de-precos-versao-2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;1304d9d419dd0f78a13b40c75406a0e74818661c4571f867a2bddc40dadd5e5f;Data de emissão conferida no PDF.
HC-UFTM;Compras e Licitações;UCL;DIVULGAÇÃO DA INTENÇÃO DE REGISTRO DE PREÇOS DOS PROCESSOS LICITATÓRIOS;POP.HC-UFTM-UCL.003;3;17/03/2026;Núcleo das quatro unidades;HC-UFTM/02_Compras_Licitacoes/POP_HC-UFTM-UCL_003_divulgacao_da_intencao_de_registro_de_precos_dos_processos_licita_2026.pdf;16;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUCL.003DivulgacaodaIntencaodeRegistrodePrecosdosProcessosLicitatoriosversao3.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;99f735dd2d26d83a3195526d18a8f0049da16db225dd8fe98a3fc9ff67739283;Data de emissão conferida no PDF.
HC-UFTM;Compras e Licitações;UCL;Emissão de Autorização de Fornecimento;POP.HC-UFTM-UCL.004;1;14/04/2026;Núcleo das quatro unidades;HC-UFTM/02_Compras_Licitacoes/POP_HC-UFTM-UCL_004_emissao_de_autorizacao_de_fornecimento_2026.pdf;17;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUCL.004EmissaodeAutorizacaodeFornecimento.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;c9f4d9c2c65ed19a8e9a836a691c6b668747cbfc4f4f47c958be0ca6dd653bd6;Data de emissão conferida no PDF.
